"","geoid","city_code","pop_total","pop_with_water_supply","pop_with_sewer_service","qty_water_supply_paralizations","has_selective_waste_collection"
"255",2311702,"231170",19015,19015,NA,59,NA
"256",2311801,"231180",75018,75018,75018,11,NA
"257",2311900,"231190",15753,15753,15753,2,"TRUE"
"258",2311959,"231195",16161,16161,16161,0,NA
"259",2312007,"231200",31596,31596,NA,0,NA
"260",2312106,"231210",17468,17468,NA,4,"TRUE"
"261",2312205,"231220",43359,43359,NA,12,"FALSE"
"262",2312304,"231230",46171,46171,46171,13,"FALSE"
"263",2312502,"231250",7721,NA,NA,NA,NA
"264",2312700,"231270",26547,26547,NA,10,NA
"265",2312908,"231290",201756,201756,201756,19,"TRUE"
"266",2313005,"231300",18094,18094,NA,20,"FALSE"
"267",2313104,"231310",30263,30263,30263,19,NA
"268",2313203,"231320",25597,25597,NA,30,NA
"269",2313252,"231325",8899,8899,8899,0,"FALSE"
"270",2313302,"231330",57701,57701,57701,51,"TRUE"
"271",2313351,"231335",18510,18510,NA,30,NA
"272",2313401,"231340",73468,73468,73468,18,"FALSE"
"273",2313609,"231360",33792,33792,NA,13,"FALSE"
"274",2313708,"231370",7665,7665,7665,2,"FALSE"
"275",2313757,"231375",19521,19521,NA,6,"FALSE"
"276",2313807,"231380",21206,21206,NA,2,NA
"277",2313955,"231395",18136,18136,NA,38,"FALSE"
"278",2314003,"231400",40062,40062,40062,14,"FALSE"
"279",2400109,"240010",11344,11344,11344,NA,"FALSE"
"280",2400208,"240020",57292,57292,NA,NA,"FALSE"
"281",2400307,"240030",11202,11202,11202,NA,"FALSE"
"282",2400406,"240040",3210,3210,NA,NA,"FALSE"
"283",2400505,"240050",13852,13852,13852,0,NA
"284",2400604,"240060",4899,4899,NA,NA,"FALSE"
"285",2400703,"240070",13915,13915,13915,NA,"FALSE"
"286",2400802,"240080",11907,11907,NA,NA,NA
"287",2400901,"240090",7205,7205,7205,NA,"FALSE"
"288",2401008,"240100",36189,36189,NA,NA,"FALSE"
"289",2401107,"240110",27356,27356,NA,NA,"TRUE"
"290",2401305,"240130",9716,9716,NA,NA,"TRUE"
"291",2401453,"240145",27238,27238,NA,NA,NA
"292",2401503,"240150",4066,4066,NA,NA,"FALSE"
"293",2401602,"240160",5458,5458,NA,NA,"FALSE"
"294",2401651,"240165",2358,2358,NA,NA,"FALSE"
"295",2401701,"240170",10114,10114,NA,NA,NA
"296",2401800,"240180",12509,12509,NA,5,"FALSE"
"297",2401859,"240185",6587,6587,NA,NA,NA
"298",2401909,"240190",3608,3608,3608,NA,NA
"299",2402006,"240200",67259,67259,67259,NA,"FALSE"
"300",2402105,"240210",11066,11066,11066,NA,NA
"301",2402303,"240230",20564,20564,NA,NA,NA
"302",2402402,"240240",8045,8045,NA,NA,"FALSE"
"303",2402501,"240250",10760,10760,10760,NA,NA
"304",2402709,"240270",11318,11318,NA,NA,NA
"305",2402808,"240280",5587,5587,NA,NA,"FALSE"
"306",2402907,"240290",4963,4963,NA,NA,"FALSE"
"307",2403004,"240300",8164,8164,8164,NA,"FALSE"
"308",2403103,"240310",44887,44887,44887,NA,NA
"309",2403202,"240320",7184,7184,7184,NA,NA
"310",2403301,"240330",5593,5593,5593,NA,"FALSE"
"311",2403400,"240340",6087,6087,NA,NA,NA
"312",2403707,"240370",6013,6013,NA,NA,NA
"313",2403756,"240375",3037,3037,NA,NA,NA
"314",2403806,"240380",9254,9254,9254,NA,NA
"315",2403905,"240390",2909,2909,NA,NA,NA
"316",2404002,"240400",4228,4228,NA,NA,"FALSE"
"317",2404101,"240410",2584,NA,NA,NA,"FALSE"
"318",2404309,"240430",13048,13048,NA,NA,NA
"319",2404408,"240440",10197,10197,NA,NA,NA
"320",2404507,"240450",14633,14633,NA,NA,"FALSE"
"321",2404606,"240460",13400,13400,NA,NA,"FALSE"
"322",2404705,"240470",15147,15147,NA,NA,"FALSE"
"323",2404804,"240480",2221,2221,NA,NA,"FALSE"
"324",2404853,"240485",7457,NA,NA,NA,NA
"325",2404903,"240490",5878,5878,NA,NA,NA
"326",2405009,"240500",8827,8827,NA,NA,"FALSE"
